English	種別	AoK	AoC	HD	DE正式名	DEその他の名称出現	問題点・差分概要	採用する日本語	裁定	判断理由
Eagle Scout	ユニット	?	?	イーグル ウォリア	イーグル ウォリアー	help_heading[26672]: イーグル ウォリア	gameplay identityに基づく世代比較可。 Eagle第1段階をHD 5671からDE unit 751 / 5672へ対応。 DE内のrole間に名称差あり。	イーグル ウォリア	restore	DE移行時の表記ブレ。旧版へ戻す。
Bagains	テクノロジー	?	?	?	バガイン	help_heading[28308]: バゲイン	旧世代のgameplay identityを確認できないためDE内のみ比較。 DE内のrole間に名称差あり。	バガイン	keep_de	DE内での表記ブレ。統一。
Elite Elephant Archer	ユニット	?	?	精鋭象弓騎兵	精鋭象弓騎兵	help_heading[26684]: 精鋭象乗り射手	gameplay identityに基づく世代比較可。 DE内のrole間に名称差あり。	精鋭象弓騎兵	restore	DE内での表記ブレ。HDと統一。
Elite Hussite Wagon	ユニット	?	?	?	精鋭戦闘馬車	help_heading[26563]: 精鋭フス派の馬車	旧世代のgameplay identityを確認できないためDE内のみ比較。 DE内のrole間に名称差あり。	精鋭戦闘馬車	keep_de	DE内での表記ブレ。統一。
First Crusade	テクノロジー	?	?	?	第 1 回十字軍	help_heading[28344]: 第一次十字軍	旧世代のgameplay identityを確認できないためDE内のみ比較。 DE内のrole間に名称差あり。	第一次十字軍	revise	DE内での表記ブレ。統一。
Hill Forts	テクノロジー	?	?	?	丘の砦	help_heading[28399]: 丘陵砦	旧世代のgameplay identityを確認できないためDE内のみ比較。 DE内のrole間に名称差あり。	ヒルフォート	revise	"実質的な関連性は薄いが、AoMの""ヒルフォート""と統一する。"
Hussite Wagon	ユニット	?	?	?	戦闘馬車	help_heading[26561]: フス派の馬車	旧世代のgameplay identityを確認できないためDE内のみ比較。 DE内のrole間に名称差あり。	戦闘馬車	keep_de	DE内での表記ブレ。統一。
Orthodoxy	テクノロジー	?	?	正統主義	正統教義	help_heading[28268]: 正統主義	gameplay identityに基づく世代比較可。 DE内のrole間に名称差あり。	正統主義	restore	DE内での表記ブレ。HDと統一。
Steppe Husbandry	テクノロジー	?	?	?	草原馬の繁殖	help_heading[28311]: 草原の農業	旧世代のgameplay identityを確認できないためDE内のみ比較。 DE内のrole間に名称差あり。	ステップ牧畜	revise	単なる草原ではなく、ステップ地帯の民族の固有のテクノロジーであることを強調。
Stirrups	テクノロジー	?	?	?	あぶみ	help_heading[28307]: 鐙	旧世代のgameplay identityを確認できないためDE内のみ比較。 DE内のrole間に名称差あり。	あぶみ	keep_de	DE内での表記ブレ。統一。
Timurid Siegecraft	テクノロジー	?	?	?	ティムールの攻囲戦術	help_heading[28310]: ティムールの攻城術	旧世代のgameplay identityを確認できないためDE内のみ比較。 DE内のrole間に名称差あり。	ティムール式攻城術	revise	ティムール個人の戦術というよりも、それを踏襲した技術であることを強調。
Caravanserai	建物	?	?	?	キャラバンサライ	help_heading[26440]: 隊商宿	旧世代のgameplay identityを確認できないためDE内のみ比較。 DE内のrole間に名称差あり。	キャラバンサライ	keep_de	DE内での表記ブレ。統一。
Composite Bowman	ユニット	?	?	?	戦闘弓兵	help_heading[26033]・action_display[6033]・compact_name[14033]: 戦闘弓射手	旧世代のgameplay identityを確認できないためDE内のみ比較。 DE内のrole間に名称差あり。	戦闘弓射手	revise	DE内での表記ブレ。統一。
Elephant Archer	ユニット	?	?	象弓騎兵	象弓騎兵	help_heading[26682]: 象乗り射手	gameplay identityに基づく世代比較可。 DE内のrole間に名称差あり。	象弓騎兵	keep_de	DE内での表記ブレ。統一。
Elite Iron Pagoda	テクノロジー	?	?	?	精鋭アイアンパゴダ	help_heading[28464]: 精鋭鉄パゴダ	旧世代のgameplay identityを確認できないためDE内のみ比較。 DE内のrole間に名称差あり。	精鋭鉄浮屠	revise	より歴史的名称かつ、中華圏ユニットらしく漢語に。
Elite Magyar Huszar	ユニット	?	?	エリート マジャール ハサー	精鋭マジャール ハサー	help_heading[26730]: 精鋭マジャール フサール	gameplay identityに基づく世代比較可。 DE内のrole間に名称差あり。	エリート マジャール ハサー	restore	旧版の名前に統一。
